Bracket,Amount,
default,1257L,,
personal_allowance,12570,,
tax_basic,0,0.2,
tax_higher,37700,0.4,
tax_additional,150000,0.45,
nic_lower,9568,0.12,
nic_higher,50270,0.02,
annual_allowance,40000,,
minimum_allowance,4000,,
threshold,200000,,
adjusted,240000,
